"Account 66243857 Orders, as of 03/10/22 at 05:04 PM EST"
"Symbol","Status","Fill","Description","Market","Time","Account","ID"
"SBET","Open","--","Sell 500 Shares @ 8 Limit GTD(11/18/2022) to Close","1.31","11/19/2021, 9:00:47 AM","66243857","553"
"SBET","Open","--","Sell 100 Shares @ 9 Limit GTD(11/18/2022) to Close","1.31","11/19/2021, 9:01:41 AM","66243857","554"
"SBET","Open","--","Sell 145 Shares @ 10 Limit GTD(11/18/2022) to Close","1.31","11/19/2021, 9:11:12 AM","66243857","556"
"AMZN","Filled","1 @ 2938.23","Buy 1 Share @ Market to Open","2940.00","03/10/2022, 10:25:52 AM","66243857","674"
"AMZN","Filled","1 @ 2932.10","Buy 1 Share @ Market to Open","2940.00","03/10/2022, 10:27:40 AM","66243857","675"
"AMZN","Filled","1 @ 2917.52","Sell 1 Share @ Market to Close","2934.01","03/10/2022, 10:34:38 AM","66243857","676"
"AMZN","Filled","1 @ 2919.41","Buy 1 Share @ Market to Open","2940.00","03/10/2022, 10:35:43 AM","66243857","677"
"AMZN","Filled","1 @ 2922.99","Buy 1 Share @ Market to Open","2940.00","03/10/2022, 10:41:08 AM","66243857","678"
"AMZN","Filled","1 @ 2925.07","Sell 1 Share @ Market to Close","2934.01","03/10/2022, 10:48:03 AM","66243857","679"
"AMZN","Filled","1 @ 2919.57","Buy 1 Share @ Market to Open","2940.00","03/10/2022, 10:56:41 AM","66243857","680"
"AMZN","Filled","1 @ 2930.20","Sell 1 Share @ Market to Close","2934.01","03/10/2022, 11:18:35 AM","66243857","681"
"AMZN","Filled","1 @ 2929.06","Sell 1 Share @ Market to Close","2934.01","03/10/2022, 11:18:53 AM","66243857","682"
"AMZN","Filled","1 @ 2935.12","Sell 1 Share @ Market to Close","2934.01","03/10/2022, 11:20:56 AM","66243857","683"
"AMZN","Filled","1 @ 2923.39","Buy 1 Share @ Market to Open","2940.00","03/10/2022, 11:32:49 AM","66243857","684"
"AMZN","Filled","1 @ 2919.00","Sell 1 Share @ Market to Close","2934.01","03/10/2022, 11:33:38 AM","66243857","685"
"AMZN","Filled","1 @ 2919.39","Buy 1 Share @ Market to Open","2940.00","03/10/2022, 11:37:32 AM","66243857","686"
"AMZN","Filled","1 @ 2929.26","Sell 1 Share @ 2929.26 Limit to Close","2934.01","03/10/2022, 11:51:35 AM","66243857","687"
"AMZN","Filled","1 @ 2909.30","Buy 1 Share @ Market to Open","2940.00","03/10/2022, 12:59:24 PM","66243857","688"
"AMZN","Canceled","--","Sell 1 Share @ 2918.18 Limit to Close","2934.01","03/10/2022, 1:04:15 PM","66243857","689"
"AMZN","Filled","1 @ 2915.17","Sell 1 Share @ 2915.17 Limit to Close","2934.01","03/10/2022, 1:08:04 PM","66243857","690"
"NOC","Filled","1 @ 442.81","Buy 1 Share @ Market to Open","472.33","03/10/2022, 2:42:36 PM","66243857","691"
"NOC","Filled","1 @ 443.77","Sell 1 Share @ Market to Close","435.30","03/10/2022, 2:48:25 PM","66243857","692"
